,date,lat,lon,parameters,rfh_avg,vim_avg,month,year,rh_anoms,t_abs,magnitude
0,2018-06-14,6.47657000016715,2.63913999971109,0,60.893738961039,51.9983,6,2018,-1.2046068,26.391665,0
1,2018-06-14,6.47657000016715,2.63913999971109,41,60.893738961039,51.9983,6,2018,-1.2046068,26.391665,2
2,2018-06-14,6.47657000016715,2.63913999971109,36,60.893738961039,51.9983,6,2018,-1.2046068,26.391665,2
3,2018-06-15,6.48287000035792,2.5939200003729,42,60.893738961039,51.9983,6,2018,-1.2046068,26.391665,2
4,2018-07-02,6.48289000019924,2.6282900003858,0,56.1264662337662,53.8446,7,2018,0.09484296,25.458334,0
5,2018-07-06,6.53988999984095,2.64362000044096,7,56.1264662337662,53.8446,7,2018,0.09484296,25.458334,0
6,2018-08-13,6.48741000021147,2.62376000032555,0,49.2276701298701,55.2875,8,2018,-1.4315401,25.231667,0
7,2018-08-17,9.33672999987147,2.64484999977911,3,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,0
8,2018-08-18,9.33672999987147,2.64484999977911,10,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,1
9,2018-08-18,9.32587999999528,2.64668000006519,10,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,1
10,2018-08-18,9.32490999983574,2.58658000003535,1,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,0
11,2018-08-18,9.32310999986149,2.59295000042743,4,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,0
12,2018-08-19,9.89093999962609,2.47551999956372,18,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,1
13,2018-08-19,9.35570999962169,2.63299000032536,18,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,1
14,2018-08-20,8.41274000011694,1.89364999963456,11,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,1
15,2018-08-20,9.31861999980692,2.62119000024775,18,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,1
16,2018-08-21,9.32587000004394,2.64303000043708,22,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,1
17,2018-08-21,8.41183999998771,1.89275000000928,19,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,1
18,2018-08-22,6.41656999981139,2.33897000017299,0,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,0
19,2018-08-22,8.40821999972208,1.892760000055,32,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,2
20,2018-08-23,9.32129000018972,2.58567000036431,4,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,0
21,2018-08-23,9.32129000018972,2.58567000036431,0,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,0
22,2018-08-25,9.3258100003299,2.58748999970638,0,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,0
23,2018-08-25,6.39488999978155,2.36973999988816,0,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,0
24,2018-08-26,9.31949000016244,2.59660000005558,0,59.527187012987,55.4393,8,2018,-1.4315401,25.231667,0
25,2018-08-29,9.31948000002801,2.5874999997521,0,55.4485948051948,55.5117,8,2018,-1.4315401,25.231667,0
26,2018-09-02,9.32403999969257,2.62300000044236,47,55.4485948051948,55.5117,9,2018,-0.545222,25.793333,2
27,2018-09-07,8.05943000015335,2.51082000023743,10,56.9985662337662,55.4647,9,2018,-0.545222,25.793333,1
28,2018-09-14,9.31858000005432,2.5874999997521,0,56.9985662337662,55.4647,9,2018,-0.545222,25.793333,0
29,2018-09-14,9.31858000005432,2.5874999997521,0,56.9985662337662,55.4647,9,2018,-0.545222,25.793333,0
30,2018-11-03,6.6396600000807,1.71271000021068,1,13.1407506493506,50.5687,11,2018,0.41687152,27.954283,0
31,2018-11-03,6.63966999997749,1.71452000040529,20,13.1407506493506,50.5687,11,2018,0.41687152,27.954283,1
32,2018-11-03,6.63875999961498,1.71180999968707,0,13.1407506493506,50.5687,11,2018,0.41687152,27.954283,0
33,2018-11-03,6.63786000018074,1.71361999988168,15,13.1407506493506,50.5687,11,2018,0.41687152,27.954283,1
34,2018-11-03,6.6396600000807,1.71271000021068,0,13.1407506493506,50.5687,11,2018,0.41687152,27.954283,0
35,2018-11-03,6.63875999961498,1.71180999968707,0,13.1407506493506,50.5687,11,2018,0.41687152,27.954283,0
36,2018-11-03,6.64417999963779,1.71088999997032,0,13.1407506493506,50.5687,11,2018,0.41687152,27.954283,0
37,2018-11-03,6.63966999997749,1.71452000040529,12,13.1407506493506,50.5687,11,2018,0.41687152,27.954283,1
38,2018-11-09,6.61433000027339,1.70916000014166,0,6.30159350649351,48.2879,11,2018,0.41687152,27.954283,0
39,2018-11-13,6.7338499997712,1.76222000030792,4,6.30159350649351,48.2879,11,2018,0.41687152,27.954283,0
40,2018-11-16,6.63253999971028,1.75795999968611,0,6.30159350649351,48.2879,11,2018,0.41687152,27.954283,0
41,2018-11-16,6.63253999971028,1.75795999968611,0,6.30159350649351,48.2879,11,2018,0.41687152,27.954283,0
42,2018-11-19,6.40672999966876,1.88418000033354,5,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
43,2018-11-19,6.40672999966876,1.88418000033354,5,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
44,2018-11-20,6.62789999967511,1.7100299996297,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
45,2018-11-20,6.62789999967511,1.7100299996297,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
46,2018-11-20,6.62789999967511,1.7100299996297,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
47,2018-11-20,6.62789999967511,1.7100299996297,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
48,2018-11-20,6.62789999967511,1.7100299996297,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
49,2018-11-20,6.62789999967511,1.7100299996297,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
50,2018-11-20,6.63333999970107,1.71453999959847,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
51,2018-11-20,6.62789999967511,1.7100299996297,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
52,2018-11-20,6.62789999967511,1.7100299996297,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
53,2018-11-20,6.62789999967511,1.7100299996297,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
54,2018-11-23,6.63436000032613,1.75975999983496,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
55,2018-11-23,6.63253999971028,1.75795999968611,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
56,2018-11-23,6.63253999971028,1.75795999968611,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
57,2018-11-24,6.63424000025722,1.71273000030216,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
58,2018-11-24,6.3928099996977,2.17715000017451,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
59,2018-11-24,6.63424000025722,1.71273000030216,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
60,2018-11-26,6.63424000025722,1.71544000012204,0,5.55767922077922,45.6838,11,2018,0.41687152,27.954283,0
61,2018-11-27,6.58620000011203,1.67306000030009,0,3.68948311688312,42.8846,11,2018,0.41687152,27.954283,0
